swing,downswing_ms,elbows_addr_bias_deg,elbows_fit_before_impact_ms,elbows_fit_imp_deg,elbows_fit_peak_dps,elbows_fit_rms_px,elbows_fit_sigma_t_ms,elbows_fit_top_deg,elbows_fit_w0_over_addr,elbows_imp_deg_ref_max,elbows_maxdown_over_addr,elbows_pw_before_impact_ms,elbows_pw_peak_dps,elbows_sig_w,elbows_square_before_impact_ms,elbows_top_deg_ref_max,elbows_w_addr,pelvis_addr_bias_deg,pelvis_fit_before_impact_ms,pelvis_fit_imp_deg,pelvis_fit_peak_dps,pelvis_fit_rms_px,pelvis_fit_sigma_t_ms,pelvis_fit_top_deg,pelvis_fit_w0_over_addr,pelvis_imp_deg_ref_max,pelvis_maxdown_over_addr,pelvis_pw_before_impact_ms,pelvis_pw_peak_dps,pelvis_sig_w,pelvis_square_before_impact_ms,pelvis_top_deg_ref_max,pelvis_w_addr,thorax_addr_bias_deg,thorax_fit_before_impact_ms,thorax_fit_imp_deg,thorax_fit_peak_dps,thorax_fit_rms_px,thorax_fit_sigma_t_ms,thorax_fit_top_deg,thorax_fit_w0_over_addr,thorax_imp_deg_ref_max,thorax_maxdown_over_addr,thorax_pw_before_impact_ms,thorax_pw_peak_dps,thorax_sig_w,thorax_square_before_impact_ms,thorax_top_deg_ref_max,thorax_w_addr
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,288.2929999999999,44.276152363659804,128.29299999999978,-38.08159405264695,1999.9999999999998,28.46876893054037,50.93505831241642,74.92309052375835,1.389697089784035,29.88675412615519,1.3966804922452611,200.29299999999984,4364.641231905251,11.1445871972319,192.29299999999984,76.24681020946308,92.64817863363369,18.145230208467783,16.29299999999967,-10.203866389371997,1413.2239674717691,0.712553157733559,6.497862896539315,39.55747782373181,1.047070631387111,16.67119209139723,1.0523322928513679,-15.70700000000036,1575.0281951738864,3.4584507730350698,-19.707000000000363,39.984284035572465,84.15778493084147,18.480858462882356,128.29299999999978,-0.893922657054711,626.4083727213384,3.8152474915700787,12.489995996796807,63.42739808470466,1.0538206093005875,0.3861635969394796,1.0543745062596976,212.29299999999984,894.4764082698298,4.665493828576347,0.29299999999965465,66.82316870422883,128.86361963992394
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,274.667,36.84811087465751,18.666999999999767,-2.5463386031221305,961.462465519163,7.036704207927845,15.084944665313026,69.64849282689259,1.2455998287624046,3.2615176587102823,1.2496437067527377,18.666999999999767,965.1647624991919,9.77383158661045,2.666999999999753,71.34103344582228,94.61988045619506,7.847246744533059,2.666999999999753,-4.818654561852044,708.0241060903755,0.8426236912343238,22.300971578236997,38.97622992869806,1.0044056654028146,4.36817033791017,1.00945293005308,-49.3330000000003,1257.5677328687052,3.8958442061408602,2.666999999999753,39.27772486096667,85.0673034306838,19.087956165447547,-13.333000000000261,1.5800532741711844,763.833020179583,3.4269811219230863,30.804040139061154,64.14579488533326,1.0576137821408065,3.2343411438663963,1.058181267437442,-13.333000000000261,850.1391158552838,3.2157543046744452,-5.333000000000254,62.06481593633366,131.24049629161166
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,281.336,39.40830924102837,25.335999999999803,-6.9821103127064115,1069.4443141205463,5.454750646805045,17.07499796648761,71.94522361270126,1.2884734476478152,9.586453449616318,1.2942612858445572,17.335999999999796,1316.7816761015781,9.028683993544991,9.335999999999789,68.62113645935403,88.80661262246919,9.81683577395274,-6.664000000000225,-2.798430855282635,758.0801449336454,0.3496787209160503,18.17201756058536,39.65006424594282,1.0128527673144418,4.783251085247607,1.0148597369849406,53.33599999999983,804.9184082501956,3.1603299167315924,5.335999999999785,40.03199827250882,84.85522711708764,20.173589113540274,-22.66400000000024,3.396658787067356,865.2465391892924,4.991947142839666,9.977753031397185,68.80564265961158,1.0665107757078607,3.3683465893200184,1.0653574524223504,-22.66400000000024,867.3336454589737,2.6013028222752808,-6.664000000000225,66.42326575447417,128.26943170761146
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,281.30200000000013,41.373609298611264,41.30199999999995,8.464413133638368,939.1299603735401,5.466536269737887,18.033918659631986,73.20693758740073,1.3259319353278531,9.477922682750274,1.3325949098772272,-42.69800000000012,1037.6759645585498,8.762868476961703,-34.69800000000012,66.50654545792754,88.35857007485075,0.0,185.30200000000008,-4.088226227380285,444.4661053117142,0.5565399346628256,16.000000000000014,38.667273770571676,0.9765489656161397,6.198930226108504,0.9787594451591421,21.301999999999932,729.6240148126805,3.470627427655847,13.301999999999925,41.07968573888925,86.86543836364896,20.324090012669206,-22.698000000000107,3.3927397256208125,769.273412517205,4.7203762561286595,11.756794725698942,67.3672425229249,1.067230625201859,2.851123497215982,1.06639027808837,189.30200000000008,876.7462209435253,2.309315752070996,-6.698000000000093,71.46947368211202,128.7269571068203
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,267.887,37.295996209444326,59.8869999999998,0.9367033597504741,964.0269971655857,2.9905027180994903,12.874393189583744,73.70336942001141,1.2567824315690197,0.4834412112618526,1.2570460179491694,59.8869999999998,955.7848857224833,7.172159670467316,-0.11300000000025179,72.86869771504738,90.75768649668099,0.0,11.886999999999759,-4.191891495477635,835.8396097913809,0.553957025312136,13.975176405167696,37.33485289702171,0.9921915132970303,8.323652171904772,0.9971774002985228,15.886999999999762,976.045317202881,3.510928692413177,7.886999999999755,38.583676895732054,85.08622224246578,20.64886624774342,123.88699999999986,1.988361934669771,714.4732388824419,6.654180996430293,12.99572579307863,64.55197352191098,1.0692706523644464,2.8240783298687635,1.0686510888039933,123.88699999999986,637.4166597279577,2.638399571333239,-8.113000000000259,60.83719044947795,127.17047791686315
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,288.2229999999999,37.60330271872631,32.22299999999967,3.8793581785619473,1064.3590329306335,11.629871689792296,25.284492392681265,70.36464568183519,1.265027370828305,5.662873122946979,1.2622207084855412,204.22299999999981,1719.0334842652603,12.316352947559073,-39.7770000000004,73.30134077166262,91.75718863391758,10.056620363213138,32.22299999999967,-5.288595612385152,620.5711126490277,0.5582943499623289,19.310331143947003,39.41981308103164,1.0113330013739859,6.845115358445636,1.0156040751386384,36.22299999999967,1171.617394971448,4.359588630178847,28.222999999999665,39.955356447620936,86.46366241406857,21.08945002283181,-15.777000000000374,5.581566655129218,584.8768809019579,4.8081069267203755,11.294049564064952,66.90483850958934,1.0711645152964864,6.1862200384862644,1.0717886090889015,40.22299999999967,666.2698123852205,4.4680902115500585,-11.77700000000037,70.94892354345798,129.46758069039328
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,281.39899999999994,37.09092177493044,25.398999999999727,-3.996361641585972,1020.3802928713278,12.522473374489863,26.368647207537148,70.03122878588357,1.248653618811792,12.071333333959375,1.25363633822244,201.3989999999999,2073.717364688379,12.942386990204191,17.39899999999972,71.0568193808688,95.65114747315593,16.454421870720676,-46.60100000000034,15.488667421572412,914.1641292006685,0.34131404735540805,19.31896017445615,39.72900504545893,1.0434914473831987,13.838104278626595,1.0427035458534692,-34.601000000000326,669.557436827446,3.073062440353504,-54.60100000000034,39.69755065851295,85.40493997067736,17.030756345390383,153.39899999999983,1.9458429764887637,630.4770664255634,4.83423380242682,22.38054710879271,64.39210075102642,1.0457407371006746,1.7561485848183085,1.0458635501842406,9.398999999999713,555.4823113344456,2.543704577444673,-2.6010000000002975,62.113739938613755,133.24965236785198
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,284.39800000000037,39.390922122571816,44.39800000000016,-6.795453302163585,895.8361543077308,9.181157938288377,20.033305601755647,70.70540396369407,1.2950335021688006,7.099894869506831,1.2939387139859757,24.398000000000142,1156.1184574856782,8.674284795622478,20.39800000000014,68.4559290273323,88.51196979130253,5.473796020888003,-47.60199999999992,4.196607503272891,734.5670560159507,1.065170906298116,15.260697523012809,41.46932405244286,1.0045036301465633,6.277806333995205,1.0045809605974232,-35.60199999999991,888.1834629348687,3.762962287888045,-27.601999999999904,43.72837420321612,85.82003542515807,18.51837209385173,-3.601999999999883,-5.911860724257546,643.3353873567252,5.489778673879136,12.14724477219241,65.51188176268944,1.0536238265590931,6.208083515909531,1.0546055100597465,0.3980000000001205,709.5261489364688,3.3540277358288435,8.398000000000128,65.3568866779358,132.93519419744632
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,268.659,34.46710828113846,28.658999999999768,-5.549346049074501,1048.1074070002662,6.874665046087082,14.360439485692023,72.78232576951049,1.2113821820425057,10.026554604832398,1.2129280534057187,36.65899999999978,1192.815220885616,8.93489749499293,-27.34100000000028,68.55141540218347,98.19653425575487,15.568898612315524,-3.3410000000002604,0.9993653846391685,704.4466650368787,0.41952162543418103,9.775252199076794,38.22919847622038,1.0346116748305514,3.7345133206227197,1.0380891515153028,-11.341000000000268,922.3754435562885,2.9620987965623025,-3.3410000000002604,38.27569875196123,87.08700141259965,22.4011881082409,-3.3410000000002604,0.507528748416697,693.7933360210434,2.683824471921576,7.888106377466163,66.3954414487645,1.0803814362037019,0.9571415940445427,1.0816211533659335,8.65899999999975,663.854541283089,1.8361660942266969,0.6589999999997431,63.747860650328995,132.3860046801176
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,281.1279999999998,36.259316338658905,25.127999999999595,-7.274190250678319,1110.3550782561504,6.500135599692375,17.28197519575431,71.54048187888985,1.2339578561795832,9.480896313686062,1.2401586494263817,13.127999999999584,1418.7110248350355,8.868186043649208,9.127999999999581,70.66929812176365,97.28306546761071,15.42292384558881,9.127999999999581,0.9410223208595208,739.5285621455288,0.6555901706174777,8.844332774281074,40.023615204242326,1.037645766378611,2.3895543643345043,1.0373561504050317,-18.872000000000444,818.9060625428554,3.7972815765267733,-2.8720000000004298,40.01897593515181,87.19827280055122,23.79702957346007,-22.872000000000448,7.988335830285501,721.466910120107,3.028185135238396,10.583005244258372,65.8603044543789,1.0924437709135035,8.256513911151155,1.0929193615825405,-18.872000000000444,717.3047583418374,2.2878086402822078,-10.872000000000437,65.68916396884273,130.61922934387638
