swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,pelvis_noEarlierThanMs,pelvis_noLaterThanMs,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,thorax_noEarlierThanMs,thorax_noLaterThanMs,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,leadArm_noEarlierThanMs,leadArm_noLaterThanMs,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,club_noEarlierThanMs,club_noLaterThanMs,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,1,0,227.869,32.08282328508315,214.5442081614363,faceOn,,,1,0,154.072,15.172563383416986,1174.0192135556292,faceOn,,80.257,1,1,93.709,12.441467502890506,779.5436468574978,faceOn,,,1,1,70.653,6.70729036257656,1965.7519449686883,faceOnClub,,,leadArm → club,True,partial,estimated,83.153
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,1,0,160.8,43.721211387415124,216.71497907508956,faceOn,,,1,0,160.8,14.062384203154695,894.44221286498,faceOn,33.304,,1,1,200.984,13.14833041394666,756.4054502378397,faceOn,,,1,1,62.517,7.834727281772605,1981.2371448310307,faceOnClub,,,leadArm → club,True,partial,estimated,62.517
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,1,0,147.318,50.2316876099669,256.6936968003011,faceOn,140.656,,1,0,194.14,13.519500628537283,630.6165410155038,faceOn,46.67,,1,1,66.798,21.090346123188446,757.2759742162009,faceOn,,,1,1,63.313,8.13658666803939,2150.5966889370907,faceOnClub,,,leadArm → club,False,unresolved,estimated,59.146
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,1,0,134.134,46.70110989889766,313.68531776847135,faceOn,127.35900000000001,,1,0,281.424,10.51950460767748,1491.0786002183365,faceOn,321.523,,1,1,200.982,11.435267445966755,1008.3661119451847,faceOn,,,1,1,63.966,5.8394898386050444,2258.734110131265,faceOnClub,,,leadArm → club,True,partial,estimated,143.133
2026-07-08_Mark-Liversedge_Wrist_01__swing_0001,1,0,134.053,30.9309179553481,296.00609317963733,faceOn,,100.55,1,0,147.384,12.066427722154952,641.0108879061726,faceOn,,,1,1,93.553,30.836443330800073,610.8729569460351,faceOn,,,1,1,67.788,11.397690577601015,1787.6735766796903,faceOnClub,,,leadArm → club,False,unresolved,estimated,163.621
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,1,0,120.667,35.22388828578825,287.21833924044836,faceOn,107.367,,1,1,134.171,32.264550045979405,424.2770948293154,faceOn,,,1,1,94.014,23.94282028552466,629.8061952380502,faceOn,,,1,1,68.762,9.08883585029709,1899.4918331307895,faceOnClub,,,thorax → leadArm → club,False,unresolved,estimated,143.762
2026-07-08_Mark-Liversedge_Wrist_01__swing_0003,1,0,127.148,40.27358499031106,299.7914212647699,faceOn,,66.992,1,0,167.372,18.216955678910423,544.7792100701577,faceOn,46.899,,1,1,93.729,17.291250252629652,618.8056056681887,faceOn,,,1,1,70.075,7.286582312051794,1921.5006390562476,faceOnClub,,,leadArm → club,True,partial,estimated,145.075
2026-07-08_Mark-Liversedge_Wrist_01__swing_0004,1,0,114.089,26.00226995942445,376.4416175888111,faceOn,100.651,,1,0,127.354,16.203354386344227,995.8214836554464,faceOn,40.322,,1,1,107.334,19.884130761984604,656.7025248919617,faceOn,,,1,1,59.686,9.924929023532936,1952.607460253001,faceOnClub,,,leadArm → club,True,partial,estimated,143.019
2026-07-08_Mark-Liversedge_Wrist_01__swing_0005,1,0,127.057,44.21706510278177,398.1459773993597,faceOn,113.73700000000001,,1,0,133.963,11.656024441860398,166.41005958090963,faceOn,,,1,1,147.067,28.554611167572517,650.1858173857966,faceOn,,,1,1,70.11,7.653169462914277,1982.073838409303,faceOnClub,,,leadArm → club,True,partial,estimated,136.776
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,1,0,33.563,66.18256705316546,336.8589338746913,faceOn,26.92,,1,0,113.945,28.919636790384338,1103.355170313582,faceOn,107.304,,1,1,20.156,38.440130317947634,989.9847757882064,faceOn,,,1,1,62.886,9.745268851037075,1924.862840345675,faceOnClub,,,club → leadArm,True,other,estimated,162.886
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,1,0,113.947,38.87950976985903,318.1680965225676,faceOn,107.279,,1,0,120.675,21.929947660332495,1201.065858603242,faceOn,113.947,,1,1,46.952,21.62125384040067,652.5706336414934,faceOn,,,1,1,60.821,9.431414269937996,1917.8136606312319,faceOnClub,,,club → leadArm,False,unresolved,estimated,156.655
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,1,0,120.523,46.60763198095586,256.8329013571636,faceOn,113.88,,1,0,220.717,13.432622130102002,798.336288741452,faceOn,40.182,,1,1,67.004,34.87925721506033,629.9087832797416,faceOn,,,1,1,66.637,8.265610632263925,2043.599812054157,faceOnClub,,,leadArm → club,False,unresolved,estimated,41.637
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,1,0,113.916,64.35167693155093,214.74453297541763,faceOn,107.351,,1,0,174.142,15.650893553672232,627.5727741172087,faceOn,40.374,,1,1,187.631,16.533838591578938,541.1084027995297,faceOn,,,1,1,62.6,7.813412992755137,2009.7542248081809,faceOnClub,,,leadArm → club,True,partial,estimated,158.433
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,1,0,120.53,29.881578276086465,281.5446894189801,faceOn,46.844,,1,0,167.178,11.191284224213835,516.2689955204277,faceOn,,,1,1,100.343,29.778475770464645,640.5055168776418,faceOn,,,1,1,59.046,10.341459367210467,1910.0263170347198,faceOnClub,,,leadArm → club,True,partial,estimated,129.879
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,1,0,127.176,103.38427545854394,291.7489447701768,faceOn,120.605,,1,1,100.557,22.630231840472124,589.9531277144393,faceOn,,,1,1,87.045,38.86037604824778,598.8679862051829,faceOn,,,1,1,65.453,8.478740330871068,1968.9031340442084,faceOnClub,,,thorax → leadArm → club,False,unresolved,estimated,190.453
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,1,0,114.033,43.12148854134339,153.374369478148,faceOn,40.187,,1,0,167.512,13.098006038808679,567.2499245796724,faceOn,45.599000000000004,,1,1,120.699,17.683670945072663,603.896736470551,faceOn,,,1,1,67.615,10.178771145323905,1789.4893688894317,faceOnClub,,,leadArm → club,True,partial,estimated,175.948
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,1,0,170.458,30.204268886937164,313.79896272113626,faceOn,103.516,,1,0,177.309,26.90621036240463,427.97676983104566,faceOn,55.099000000000004,,1,1,123.708,19.30988843454436,629.2150721342307,faceOn,,,1,1,58.652,9.042552281857214,1768.7752866329995,faceOnClub,,,leadArm → club,True,partial,estimated,29.485
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,1,0,108.095,41.68193657194585,293.50234791523184,faceOn,101.33800000000001,,1,0,174.303,14.134405949917445,494.09251983814266,faceOn,46.463,,1,1,81.327,22.596825380476666,663.5527367204461,faceOn,,,1,1,58.415,13.164671975788796,1777.286634192815,faceOnClub,,,leadArm → club,False,unresolved,estimated,50.082
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,1,0,26.741,57.73108190129523,287.02147841141476,faceOn,17.965,,1,0,126.958,40.605248142042754,1148.9857980318047,faceOn,118.033,,1,1,46.837,13.217762305153306,778.749884378463,faceOn,,,1,1,3.745,5.824257488579429,2011.1179956712804,faceOnClub,,,leadArm → club,True,partial,estimated,3.745
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,1,0,24.3,65.79210482898232,334.68775405068527,faceOn,19.714,,1,0,147.171,12.273171343724334,709.9712229597119,faceOn,40.219,,1,1,66.09,22.316683023878014,639.8202814105474,faceOn,,,1,1,59.891,11.596822174460062,1857.4655589550437,faceOnClub,,,leadArm → club,False,unresolved,estimated,168.224
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,1,0,27.279,78.66556982608587,214.42030002471037,faceOn,17.427,,1,0,161.334,16.91603765626806,773.1306853765813,faceOn,39.97,,1,1,140.399,19.190207769118928,607.3637587716082,faceOn,,,1,1,63.431,8.85074077932168,1967.0942204875728,faceOnClub,,,leadArm → club,True,partial,estimated,163.431
