swing_dir,outcome,json_bytes,ppsw_bytes,ms,error
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0024",converted,14167,1833,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0025",converted,14159,1822,8,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0026",converted,14157,1826,4,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0001",converted,28177117,2672945,376,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0002",converted,28273778,2641002,351,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0003",converted,26693133,2502616,344,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0004",converted,28058484,2685784,367,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_01/swing_0005",converted,28249008,2697658,382,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0001",converted,30078604,2764085,388,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0002",converted,30031482,2729154,387,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0003",converted,29897938,2750096,389,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0004",converted,29806806,2720890,397,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0005",converted,30065868,2733878,405,""
"C:/PinPointStudio/corpus/swings/2026-08-18_Mark-Liversedge_Wrist_02/swing_0006",converted,29878828,2751042,409,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0001",converted,28923579,2774936,393,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0002",converted,28597677,2718484,381,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0003",converted,28742422,2763114,389,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0004",converted,28964177,2772202,392,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0005",converted,28884581,2774397,379,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0006",converted,28751147,2679754,394,""
"C:/PinPointStudio/corpus/swings/2026-09-09_Mark-Liversedge_Wrist_01/swing_0007",converted,28719126,2748333,400,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0001",converted,65649500,6152341,1093,""
