item,R1-M1_n,R1-M1_median,R1-M1_p90,R1-R2_n,R1-R2_median,R1-R2_p90,M1-M2_n,M1-M2_median,M1-M2_p90,PR-PM_n,PR-PM_median,PR-PM_p90
metric:shaftAngleVsHorizontal:P2,38,3.5979,20.6741,38,0.0,0.0,38,0.0,0.0,38,1.0026,17.3394
metric:shaftAngleVsHorizontal:P5,38,5.7238,54.5409,38,0.0,0.0,38,0.0,0.0,38,0.8961,39.4771
metric:shaftAngleVsHorizontal:P7,38,4.5,34.3431,38,0.0,0.0,38,0.0,0.0,38,1.0,23.3828
metric:shoulderPlaneAngle:P0,38,0.3156,0.8033,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:shoulderPlaneAngle:P2,5,3.0342,31.0768,9,0.0,0.0,12,0.0,0.0,9,0.0,0.0
metric:shoulderPlaneAngle:P5,37,0.3703,0.7572,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:spineSideBend:P0,38,1.0799,10.573,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:spineSideBend:P2,5,2.8867,31.3878,9,0.0,0.0,12,0.0,0.0,9,0.0,0.0
metric:spineSideBend:P5,37,0.604,5.3277,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:stanceWidth:P0,38,0.8324,2.3763,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:stanceWidthMm:P0,28,2.032,5.1445,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:swingPlaneIotaBack:P2,38,1.9185,7.2497,38,0.0,0.0,38,0.0,0.0,38,1.6511,5.1228
metric:swingPlaneIotaDown:P5,38,2.7888,8.7507,38,0.0,0.0,38,0.0,0.0,38,1.6475,9.2263
metric:tempoBackswing:P5,38,0.0065,0.0337,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:tempoRatio:P5,38,0.0237,0.2208,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxAngularSpeed:P5,7,69.3089,730.3001,11,0.0,0.0,14,0.0,0.0,11,0.0,0.0
metric:thoraxAngularSpeed:P9,37,51.0382,331.2645,37,0.0,0.0,38,0.0,0.0,37,0.0,25.467
metric:thoraxLateralDrift:P0,38,2.8544,31.1872,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxLateralDrift:P2,38,3.5287,15.3394,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxLateralDrift:P5,37,2.2183,6.5539,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:toeLineAngle:P0,38,1.8857,349.9014,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailElbowHeight:P0,38,1.4242,25.7802,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailElbowHeight:P2,5,23.1323,61.5612,9,0.0,0.0,12,0.0,0.0,9,0.0,0.0
metric:trailElbowHeight:P5,37,0.6464,2.1047,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:trailElbowHeight:P7,34,1.9862,5.7556,34,0.0,0.0,36,0.0,0.0,34,0.0,0.0
metric:trailFootFlare:P0,38,1.9651,8.5726,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P0,38,3.3297,22.3909,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P2,38,3.7497,31.106,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P5,38,1.8243,31.5107,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P7,38,2.4097,7.4267,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:transitionPlaneDelta:P3,38,4.6174,12.2373,38,0.0,0.0,38,0.0,0.0,38,3.425,14.7232
metric_keys_only_in_first,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric_keys_only_in_second,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric_value_count_diff,38,1.0,4.3,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P00_ms,38,0.0,28.6771,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P01_ms,38,0.0,96.7948,38,0.0,0.0,38,0.0,0.0,38,0.0,5.785
phase_P02_ms,38,0.0,19.1368,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P05_ms,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P07_ms,38,4.2985,22.2049,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P08_ms,38,0.836,3.3598,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P09_ms,38,0.494,5.1636,38,0.0,0.0,38,0.0,0.0,38,0.0,2.5692
phase_P10_ms,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0
phase_P12_ms,38,1.313,4.1721,38,0.0,0.0,38,0.0,0.0,38,0.6645,3.7421
phase_P13_ms,38,0.117,0.6553,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P14_ms,38,0.857,6.9481,38,0.0,0.0,38,0.0,0.0,38,0.0,1.5426
phase_count_diff,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_body_px_mean,38,2.1905,3.5516,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_body_px_p95,38,5.3324,9.1102,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_frames_common,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0
pose_hands_px_mean,38,3.3422,5.9376,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_hands_px_p95,38,7.9676,12.5134,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
score_overall,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
